event_type,fields
EBLINK,R 100657639 100657700 62
ESACC,R 100657605 100657743 139 -125.8 252.0 675.5 290.5 12.95 570
SFIX,R 100657744
EFIX,R 100657744 100657880 137 683.6 233.4 3414
SSACC,R 100657881
ESACC,R 100657881 100657904 24 679.2 242.2 816.8 276.2 2.41 215
SFIX,R 100657905
EFIX,R 100657905 100658663 759 812.0 285.2 3135
SSACC,R 100658664
ESACC,R 100658664 100658682 19 805.6 303.5 728.5 336.9 1.43 143
SFIX,R 100658683
EFIX,R 100658683 100658778 96 702.4 349.0 2822
SSACC,R 100658779
ESACC,R 100658779 100658800 22 701.0 350.6 798.9 311.6 1.79 123
SFIX,R 100658801
EFIX,R 100658801 100659286 486 812.9 306.3 2844
SSACC,R 100659287
ESACC,R 100659287 100659307 21 811.0 311.9 720.3 263.1 1.75 144
SFIX,R 100659308
EFIX,R 100659308 100659600 293 715.8 267.9 2565
SSACC,R 100659601
ESACC,R 100659601 100659636 36 714.6 269.4 501.4 254.9 3.60 125
SFIX,R 100659637
EFIX,R 100659637 100659794 158 467.6 251.9 2876
SSACC,R 100659795
ESACC,R 100659795 100659825 31 467.5 251.4 721.7 289.2 4.32 271
SFIX,R 100659826
EFIX,R 100659826 100660154 329 724.5 289.4 2920
SSACC,R 100660155
ESACC,R 100660155 100660164 10 723.0 285.5 707.9 256.4 0.56 63
SFIX,R 100660165
EFIX,R 100660165 100660719 555 711.8 258.5 2936
SSACC,R 100660720
SBLINK,R 100660766
EBLINK,R 100660766 100660838 73
ESACC,R 100660720 100660879 160 722.4 261.9 -17.2 197.2 12.11 765
SFIX,R 100660880
EFIX,R 100660880 100661054 175 -12.5 192.5 2915
SSACC,R 100661055
ESACC,R 100661055 100661091 37 -10.3 195.3 -104.5 -156.8 5.93 264
SFIX,R 100661092
EFIX,R 100661092 100661595 504 -104.9 -192.6 2745
SSACC,R 100661596
ESACC,R 100661596 100661636 41 -106.2 -192.8 359.4 -87.2 7.62 319
SFIX,R 100661637
EFIX,R 100661637 100661810 174 358.8 -78.0 3003
SSACC,R 100661811
ESACC,R 100661811 100661827 17 357.7 -76.2 417.6 -101.8 1.08 101
SFIX,R 100661828
EFIX,R 100661828 100662323 496 408.7 -108.9 2449
SSACC,R 100662324
ESACC,R 100662324 100662366 43 402.8 -111.7 470.4 282.9 6.75 239
SFIX,R 100662367
EFIX,R 100662367 100662595 229 557.3 335.9 2332
SSACC,R 100662596
ESACC,R 100662596 100662621 26 563.2 334.0 724.2 295.0 2.80 194
SFIX,R 100662622
EFIX,R 100662622 100662867 246 729.8 286.7 2603
SSACC,R 100662868
ESACC,R 100662868 100662880 13 730.4 283.6 771.5 295.9 0.73 71
SFIX,R 100662881
EFIX,R 100662881 100663154 274 775.0 296.0 2722
SSACC,R 100663155
ESACC,R 100663155 100663163 9 776.5 294.1 798.4 303.0 0.40 48
SFIX,R 100663164
EFIX,R 100663164 100664380 1217 795.6 309.6 2497
SSACC,R 100664381
ESACC,R 100664381 100664399 19 781.0 303.5 710.7 265.5 1.36 114
SFIX,R 100664400
EFIX,R 100664400 100665243 844 708.9 264.5 2686
SSACC,R 100665244
ESACC,R 100665244 100665265 22 714.6 264.8 612.8 292.7 1.79 114
SFIX,R 100665266
EFIX,R 100665266 100665520 255 600.7 297.1 2863
SSACC,R 100665521
ESACC,R 100665521 100665545 25 599.9 294.9 735.5 276.6 2.31 174
SFIX,R 100665546
EFIX,R 100665546 100666065 520 740.3 276.5 2756
SSACC,R 100666066
SBLINK,R 100666084
EBLINK,R 100666084 100666233 150
ESACC,R 100666066 100666256 191 739.4 278.1 338.3 487.2 7.57 423
SFIX,R 100666257
EFIX,R 100666257 100666384 128 329.6 449.8 2723
SSACC,R 100666385
ESACC,R 100666385 100666409 25 326.6 453.4 370.4 291.0 2.83 228
SFIX,R 100666410
EFIX,R 100666410 100666847 438 372.6 284.0 2984
SSACC,R 100666848
SBLINK,R 100666866
EBLINK,R 100666866 100666990 125
ESACC,R 100666848 100667035 188 375.2 270.5 -181.4 36.7 9.65 418
SFIX,R 100667036
EFIX,R 100667036 100667345 310 -187.0 36.0 2660
SSACC,R 100667346
ESACC,R 100667346 100667386 41 -186.2 37.3 -86.4 417.3 6.37 260
SFIX,R 100667387
EFIX,R 100667387 100667590 204 -63.7 446.4 2949
SSACC,R 100667591
ESACC,R 100667591 100667610 20 -61.6 448.3 -81.7 366.8 1.37 100
SFIX,R 100667611
EFIX,R 100667611 100667831 221 -92.8 350.8 3083
SSACC,R 100667832
ESACC,R 100667832 100667858 27 -93.9 349.5 -64.1 209.2 2.34 135
SFIX,R 100667859
EFIX,R 100667859 100669009 1151 -74.2 223.9 2953
SSACC,R 100669010
ESACC,R 100669010 100669036 27 -78.9 231.4 -219.5 354.2 2.94 170
SFIX,R 100669037
EFIX,R 100669037 100669294 258 -261.8 413.3 2625
SSACC,R 100669295
SBLINK,R 100669326
EBLINK,R 100669326 100669420 95
ESACC,R 100669295 100669465 171 -268.0 419.5 -252.7 83.0 5.42 599
SFIX,R 100669466
EFIX,R 100669466 100669674 209 -252.4 73.2 2642
SSACC,R 100669675
SBLINK,R 100669706
EBLINK,R 100669706 100669706 1
ESACC,R 100669675 100669715 41 -252.4 72.6 -329.9 -29.9 2.01 165
SFIX,R 100669716
EFIX,R 100669716 100669904 189 -474.0 -180.4 2494
SSACC,R 100669905
SBLINK,R 100669955
EBLINK,R 100669955 100670035 81
ESACC,R 100669905 100670072 168 -473.1 -177.9 -124.7 -144.7 5.20 725
SFIX,R 100670073
EFIX,R 100670073 100670293 221 -127.1 -147.6 2723
SSACC,R 100670294
ESACC,R 100670294 100670355 62 -127.1 -149.0 529.4 -74.4 10.58 304
SFIX,R 100670356
EFIX,R 100670356 100670474 119 523.4 -67.2 2802
SSACC,R 100670475
ESACC,R 100670475 100670490 16 523.2 -66.5 564.8 -96.9 0.87 86
SFIX,R 100670491
EFIX,R 100670491 100671200 710 559.3 -104.5 2236
SSACC,R 100671201
ESACC,R 100671201 100671250 50 555.2 -105.4 585.0 444.2 9.32 283
SFIX,R 100671251
EFIX,R 100671251 100671658 408 552.6 519.9 2407
SSACC,R 100671659
