Time,Gaze_Target_X,Gaze_Target_Y
13.065833,-999.000000,-999.000000
13.091507,-999.000000,-999.000000
13.112655,-999.000000,-999.000000
13.131544,-999.000000,-999.000000
13.145823,-999.000000,-999.000000
13.165252,-999.000000,-999.000000
13.184375,-999.000000,-999.000000
13.214326,-999.000000,-999.000000
13.224359,-999.000000,-999.000000
13.252580,-999.000000,-999.000000
13.266471,-999.000000,-999.000000
13.293510,-999.000000,-999.000000
13.303964,-999.000000,-999.000000
13.322989,-999.000000,-999.000000
13.351289,-999.000000,-999.000000
13.364894,-999.000000,-999.000000
13.394070,-999.000000,-999.000000
13.404564,-999.000000,-999.000000
13.433546,-999.000000,-999.000000
13.452126,-999.000000,-999.000000
13.464663,-999.000000,-999.000000
13.483828,-999.000000,-999.000000
13.502763,-999.000000,-999.000000
13.524957,-999.000000,-999.000000
13.544099,-999.000000,-999.000000
13.564300,-999.000000,-999.000000
13.592916,-999.000000,-999.000000
13.612052,-999.000000,-999.000000
13.631222,-999.000000,-999.000000
13.653797,-999.000000,-999.000000
13.673185,-999.000000,-999.000000
13.694471,-999.000000,-999.000000
13.713293,-999.000000,-999.000000
13.731759,-999.000000,-999.000000
13.755129,-999.000000,-999.000000
13.772961,-999.000000,-999.000000
13.795582,-999.000000,-999.000000
13.805964,-999.000000,-999.000000
13.825515,-999.000000,-999.000000
13.845282,-999.000000,-999.000000
13.864551,-999.000000,-999.000000
13.884290,-999.000000,-999.000000
13.905318,-999.000000,-999.000000
13.924515,-999.000000,-999.000000
13.955111,-999.000000,-999.000000
13.972753,-999.000000,-999.000000
13.991109,-999.000000,-999.000000
14.005006,-999.000000,-999.000000
14.024160,-999.000000,-999.000000
14.051906,-999.000000,-999.000000
14.072549,-999.000000,-999.000000
14.091580,-999.000000,-999.000000
14.106347,-999.000000,-999.000000
14.134041,-999.000000,-999.000000
14.151757,-999.000000,-999.000000
14.165600,-999.000000,-999.000000
14.191459,-999.000000,-999.000000
14.205212,-999.000000,-999.000000
14.232639,-999.000000,-999.000000
14.243365,-999.000000,-999.000000
14.272596,-999.000000,-999.000000
14.293696,-999.000000,-999.000000
14.312276,-999.000000,-999.000000
14.323189,-999.000000,-999.000000
14.344929,-999.000000,-999.000000
14.363508,-999.000000,-999.000000
14.386762,-999.000000,-999.000000
14.406398,-999.000000,-999.000000
14.431042,-999.000000,-999.000000
14.445147,-999.000000,-999.000000
14.474150,-999.000000,-999.000000
14.492233,-999.000000,-999.000000
14.514302,-999.000000,-999.000000
14.531919,-999.000000,-999.000000
14.544986,-999.000000,-999.000000
14.573959,-999.000000,-999.000000
14.594403,-999.000000,-999.000000
14.603767,-999.000000,-999.000000
14.635004,-999.000000,-999.000000
14.644890,-999.000000,-999.000000
14.664357,-999.000000,-999.000000
14.692595,-999.000000,-999.000000
14.711895,-999.000000,-999.000000
14.726469,-999.000000,-999.000000
14.744247,-999.000000,-999.000000
14.775038,-999.000000,-999.000000
