tracker_time_ms,message
100865792,!V TRIAL_VAR Stim_Minor_Axis_deg 0.3
100865792,!V TRIAL_VAR Stim_Orientation_deg 0.0
100865792,!V TRIAL_VAR Gap_Duration_ms 100.0
100865792,!V TRIAL_VAR Stim_Duration_ms 200.0
100865792,!V TRIAL_VAR Stim_Hold_Time_ms 100.0
100865793,!V TRIAL_VAR Condition_ID C000004
100865794,!V TRIAL_VAR Is_Control False
100865794,!V TRIAL_VAR Stim_Color_Name Gray
100865794,!V TRIAL_VAR Stim_Intensity_Level 150
100865794,!V TRIAL_VAR Stim_Pos_X_deg 9.0
100865794,!V TRIAL_VAR Stim_Pos_Y_deg 0.0
100865799,FIX_ON TRIAL 9
100866386,GAZE_ACQUIRED TRIAL 9
100866609,FIX_OFF TRIAL 9
100866720,STIM_ON TRIAL 9
100866878,TARGET_ENTER TRIAL 9
100866928,STIM_OFF TRIAL 9
100866988,STIM_WINDOW_END TRIAL 9
100866993,REWARD TRIAL 9
100867257,!V TRIAL_VAR Status Success
100867257,!V TRIAL_VAR Subject_ID Monkey_H18
100867257,TRIAL_RESULT Success
100870327,TRIALID 10
100870327,!V TRIAL_VAR Subject_ID Monkey_H18
100870327,!V TRIAL_VAR Planned_Fixation_Duration_ms 757.2595041382256
100870327,!V TRIAL_VAR Fixation_Pos_X_deg 0.0
100870327,!V TRIAL_VAR Fixation_Pos_Y_deg 0.0
100870327,!V TRIAL_VAR Fixation_Point_Radius_deg 0.2
100870327,!V TRIAL_VAR Fix_Window_Radius_deg 2.5
100870327,!V TRIAL_VAR Stim_Pos_X_deg 0.0
100870327,!V TRIAL_VAR Stim_Pos_Y_deg -15.0
100870327,!V TRIAL_VAR Stim_Window_Radius_deg 3.0
100870327,!V TRIAL_VAR Stim_Major_Axis_deg 0.3
100870327,!V TRIAL_VAR Stim_Minor_Axis_deg 0.3
100870327,!V TRIAL_VAR Stim_Orientation_deg 0.0
100870327,!V TRIAL_VAR Gap_Duration_ms 100.0
100870327,!V TRIAL_VAR Stim_Duration_ms 200.0
100870327,!V TRIAL_VAR Stim_Hold_Time_ms 100.0
100870328,!V TRIAL_VAR Condition_ID C000005
100870328,!V TRIAL_VAR Is_Control False
100870328,!V TRIAL_VAR Stim_Color_Name Gray
100870328,!V TRIAL_VAR Stim_Intensity_Level 60
100870328,!V TRIAL_VAR Stim_Pos_X_deg 0.0
100870328,!V TRIAL_VAR Stim_Pos_Y_deg -15.0
100870335,FIX_ON TRIAL 10
100870746,GAZE_ACQUIRED TRIAL 10
100871360,FIX_OFF TRIAL 10
100871466,STIM_ON TRIAL 10
100871681,STIM_OFF TRIAL 10
100872181,STIM_WINDOW_END TRIAL 10
100872186,!V TRIAL_VAR Status nofix_2
100872186,!V TRIAL_VAR Subject_ID Monkey_H18
100872186,TRIAL_RESULT nofix_2
100875256,TRIALID 11
100875256,!V TRIAL_VAR Subject_ID Monkey_H18
100875256,!V TRIAL_VAR Planned_Fixation_Duration_ms 713.541599360022
100875256,!V TRIAL_VAR Fixation_Pos_X_deg 0.0
100875256,!V TRIAL_VAR Fixation_Pos_Y_deg 0.0
100875256,!V TRIAL_VAR Fixation_Point_Radius_deg 0.2
100875256,!V TRIAL_VAR Fix_Window_Radius_deg 2.5
100875256,!V TRIAL_VAR Stim_Pos_X_deg 0.0
100875256,!V TRIAL_VAR Stim_Pos_Y_deg -15.0
100875256,!V TRIAL_VAR Stim_Window_Radius_deg 3.0
100875256,!V TRIAL_VAR Stim_Major_Axis_deg 0.3
100875256,!V TRIAL_VAR Stim_Minor_Axis_deg 0.3
