event_type,fields
ESACC,R 100902161 100902210 50 425.4 -28.5 -42.4 -197.5 8.02 249
SFIX,R 100902211
EFIX,R 100902211 100902526 316 -80.5 -212.1 1695
SSACC,R 100902527
ESACC,R 100902527 100902586 60 -79.5 -209.8 -40.0 308.4 8.47 236
SFIX,R 100902587
EFIX,R 100902587 100902736 150 -35.2 310.5 2320
SSACC,R 100902737
ESACC,R 100902737 100902765 29 -32.0 309.6 -136.4 413.8 2.35 123
SFIX,R 100902766
EFIX,R 100902766 100902972 207 -136.2 420.2 2566
SSACC,R 100902973
ESACC,R 100902973 100902994 22 -133.3 417.3 -151.8 295.4 2.00 145
SFIX,R 100902995
EFIX,R 100902995 100903649 655 -156.7 279.1 2817
SSACC,R 100903650
ESACC,R 100903650 100903681 32 -161.3 284.2 -197.0 65.5 3.59 161
SFIX,R 100903682
EFIX,R 100903682 100904005 324 -195.2 32.7 2479
SSACC,R 100904006
ESACC,R 100904006 100904028 23 -198.0 30.6 -268.9 51.7 1.13 58
SFIX,R 100904029
EFIX,R 100904029 100904200 172 -308.6 70.4 2468
SSACC,R 100904201
SBLINK,R 100904228
EBLINK,R 100904228 100904338 111
ESACC,R 100904201 100904377 177 -313.2 74.8 -83.7 21.6 3.60 619
SFIX,R 100904378
EFIX,R 100904378 100904548 171 -81.0 21.5 2501
SSACC,R 100904549
ESACC,R 100904549 100904613 65 -80.1 23.1 653.3 260.6 12.52 297
SFIX,R 100904614
EFIX,R 100904614 100905112 499 690.1 272.2 2308
SSACC,R 100905113
ESACC,R 100905113 100905136 24 691.6 262.3 792.5 323.8 2.01 147
SFIX,R 100905137
EFIX,R 100905137 100905408 272 796.0 326.5 2683
SSACC,R 100905409
ESACC,R 100905409 100905419 11 799.8 327.7 822.0 355.8 0.61 67
SFIX,R 100905420
EFIX,R 100905420 100905555 136 821.0 359.9 2850
SSACC,R 100905556
ESACC,R 100905556 100905568 13 818.9 357.4 805.0 317.2 0.73 69
SFIX,R 100905569
EFIX,R 100905569 100907186 1618 812.3 302.6 2784
SSACC,R 100907187
ESACC,R 100907187 100907199 13 813.0 308.4 807.5 352.6 0.76 75
SFIX,R 100907200
EFIX,R 100907200 100907372 173 806.5 349.8 2636
SSACC,R 100907373
ESACC,R 100907373 100907389 17 806.6 349.8 810.7 292.1 0.99 96
SFIX,R 100907390
EFIX,R 100907390 100907812 423 813.4 298.9 2768
SSACC,R 100907813
ESACC,R 100907813 100907830 18 815.1 299.5 752.9 262.5 1.23 113
SFIX,R 100907831
EFIX,R 100907831 100908428 598 747.4 263.9 2760
SSACC,R 100908429
ESACC,R 100908429 100908451 23 746.5 262.0 617.7 253.0 2.18 159
SFIX,R 100908452
EFIX,R 100908452 100908736 285 600.3 255.5 2998
SSACC,R 100908737
ESACC,R 100908737 100908763 27 597.4 253.9 409.2 280.8 3.18 203
SFIX,R 100908764
EFIX,R 100908764 100909940 1177 392.9 275.8 2993
SSACC,R 100909941
ESACC,R 100909941 100909976 36 390.8 276.0 714.7 255.4 5.44 264
SFIX,R 100909977
EFIX,R 100909977 100910306 330 715.7 254.6 2820
SSACC,R 100910307
ESACC,R 100910307 100910317 11 715.6 254.5 748.8 264.3 0.59 63
SFIX,R 100910318
EFIX,R 100910318 100910876 559 756.3 268.7 2894
SSACC,R 100910877
ESACC,R 100910877 100910900 24 758.5 270.0 829.0 365.3 2.02 168
SFIX,R 100910901
EFIX,R 100910901 100911071 171 827.8 364.9 2746
SSACC,R 100911072
SBLINK,R 100911090
EBLINK,R 100911090 100911223 134
ESACC,R 100911072 100911269 198 825.2 365.9 893.4 322.6 1.38 289
SFIX,R 100911270
EFIX,R 100911270 100911646 377 915.1 234.2 2728
SSACC,R 100911647
ESACC,R 100911647 100911665 19 915.4 244.3 912.5 166.7 1.33 112
SFIX,R 100911666
EFIX,R 100911666 100911861 196 916.3 165.2 2659
SSACC,R 100911862
ESACC,R 100911862 100911886 25 915.1 168.1 787.6 270.4 2.79 179
SFIX,R 100911887
EFIX,R 100911887 100912048 162 773.2 295.4 2852
SSACC,R 100912049
ESACC,R 100912049 100912061 13 774.4 300.2 800.0 335.0 0.74 70
SFIX,R 100912062
EFIX,R 100912062 100912439 378 800.3 339.3 2857
SSACC,R 100912440
ESACC,R 100912440 100912449 10 802.1 337.9 814.9 312.0 0.49 56
SFIX,R 100912450
EFIX,R 100912450 100912993 544 812.0 317.3 2723
SSACC,R 100912994
ESACC,R 100912994 100913004 11 812.4 320.7 790.4 287.4 0.68 71
SFIX,R 100913005
EFIX,R 100913005 100913199 195 782.6 284.0 2680
SSACC,R 100913200
ESACC,R 100913200 100913220 21 780.2 283.1 668.0 270.6 1.92 152
SFIX,R 100913221
EFIX,R 100913221 100914508 1288 648.4 267.4 2888
SSACC,R 100914509
SBLINK,R 100914555
EBLINK,R 100914555 100914738 184
ESACC,R 100914509 100914762 254 645.4 273.3 262.5 428.2 6.87 206
SFIX,R 100914763
EFIX,R 100914763 100915033 271 256.9 369.9 2483
SSACC,R 100915034
ESACC,R 100915034 100915056 23 260.6 364.9 353.9 286.6 2.02 154
SFIX,R 100915057
EFIX,R 100915057 100915834 778 377.5 275.9 2942
SSACC,R 100915835
ESACC,R 100915835 100915868 34 388.6 276.7 203.9 525.3 5.14 276
SFIX,R 100915869
EFIX,R 100915869 100916094 226 181.9 560.6 2830
SSACC,R 100916095
ESACC,R 100916095 100916135 41 179.4 562.0 364.0 261.0 5.86 222
SFIX,R 100916136
EFIX,R 100916136 100916822 687 365.2 253.5 2900
SSACC,R 100916823
ESACC,R 100916823 100916831 9 359.2 265.7 354.8 287.8 0.38 47
SFIX,R 100916832
EFIX,R 100916832 100917128 297 357.5 288.6 2569
SSACC,R 100917129
ESACC,R 100917129 100917164 36 359.8 285.7 726.7 332.3 6.19 267
SFIX,R 100917165
EFIX,R 100917165 100917992 828 786.5 341.6 2734
SSACC,R 100917993
ESACC,R 100917993 100918001 9 797.9 336.1 809.7 309.1 0.50 60
SFIX,R 100918002
EFIX,R 100918002 100919083 1082 811.1 313.2 2669
SSACC,R 100919084
SBLINK,R 100919126
EBLINK,R 100919126 100919248 123
ESACC,R 100919084 100919277 194 812.2 315.8 346.3 -61.4 10.08 484
SFIX,R 100919278
EFIX,R 100919278 100919616 339 333.5 -61.7 2210
SSACC,R 100919617
ESACC,R 100919617 100919652 36 328.6 -60.5 365.0 273.0 5.65 258
SFIX,R 100919653
EFIX,R 100919653 100921339 1687 383.9 275.9 2714
SSACC,R 100921340
ESACC,R 100921340 100921375 36 384.6 274.5 424.9 -0.3 4.69 202
SFIX,R 100921376
EFIX,R 100921376 100921541 166 415.3 -53.2 2598
SSACC,R 100921542
ESACC,R 100921542 100921548 7 411.1 -53.5 406.7 -40.0 0.24 36
SFIX,R 100921549
EFIX,R 100921549 100922459 911 398.9 -33.9 1752
SSACC,R 100922460
SBLINK,R 100922480
EBLINK,R 100922480 100922578 99
ESACC,R 100922460 100922606 147 397.2 -31.4 325.8 292.7 5.59 587
SFIX,R 100922607
EFIX,R 100922607 100922910 304 325.3 268.4 2024
SSACC,R 100922911
ESACC,R 100922911 100922926 16 329.0 264.1 332.5 317.9 0.91 89
SFIX,R 100922927
EFIX,R 100922927 100923297 371 337.3 307.3 2522
SSACC,R 100923298
ESACC,R 100923298 100923305 8 342.7 295.6 339.4 274.3 0.36 48
SFIX,R 100923306
EFIX,R 100923306 100924468 1163 375.0 275.5 2928
SSACC,R 100924469
ESACC,R 100924469 100924506 38 397.3 277.6 770.9 325.0 6.32 286
SFIX,R 100924507
EFIX,R 100924507 100925040 534 782.8 335.4 2669
SSACC,R 100925041
ESACC,R 100925041 100925062 22 781.0 332.9 696.5 263.2 1.86 158
SFIX,R 100925063
EFIX,R 100925063 100925615 553 687.1 263.9 2839
INPUT,100925617 127
END,100925617 SAMPLES EVENTS RES 259.43 257.56
