event_type,fields
SSACC,R 186263867
ESACC,R 186263867 186263885 19 866.3 263.1 790.3 238.6 1.36 130
SFIX,R 186263886
EFIX,R 186263886 186264696 811 742.1 233.3 1845
SSACC,R 186264697
ESACC,R 186264697 186264727 31 717.0 224.9 949.4 551.3 6.82 482
SFIX,R 186264728
EFIX,R 186264728 186265156 429 957.3 564.5 1825
SSACC,R 186265157
ESACC,R 186265157 186265204 48 960.2 563.2 1039.5 1312.4 12.17 467
SFIX,R 186265205
EFIX,R 186265205 186265863 659 1048.5 1290.1 2448
SSACC,R 186265864
ESACC,R 186265864 186265915 52 1052.5 1268.5 954.9 529.7 12.11 486
SFIX,R 186265916
EFIX,R 186265916 186266274 359 942.3 512.9 2562
SSACC,R 186266275
ESACC,R 186266275 186266314 40 936.1 514.6 1211.4 972.3 8.89 423
SFIX,R 186266315
EFIX,R 186266315 186266582 268 1218.3 1001.3 2345
SSACC,R 186266583
ESACC,R 186266583 186266645 63 1215.3 1008.0 1459.3 1817.0 12.64 545
SFIX,R 186266646
EFIX,R 186266646 186266977 332 1464.9 1847.9 2403
SSACC,R 186266978
SBLINK,R 186267005
EBLINK,R 186267005 186267236 232
ESACC,R 186266978 186267267 290 1467.4 1842.8 1655.8 1599.1 4.45 299
SFIX,R 186267268
EFIX,R 186267268 186267567 300 1653.6 1569.3 2692
SSACC,R 186267568
ESACC,R 186267568 186267601 34 1652.6 1562.7 1820.5 1297.6 4.68 268
SFIX,R 186267602
EFIX,R 186267602 186268094 493 1827.2 1289.0 2796
SSACC,R 186268095
ESACC,R 186268095 186268128 34 1829.3 1286.4 1910.3 1743.4 6.69 387
SFIX,R 186268129
EFIX,R 186268129 186268291 163 1903.7 1759.5 2837
SSACC,R 186268292
ESACC,R 186268292 186268370 79 1903.4 1758.9 968.2 327.9 26.28 642
SFIX,R 186268371
EFIX,R 186268371 186268482 112 963.5 340.1 2934
SSACC,R 186268483
ESACC,R 186268483 186268506 24 956.5 333.2 803.0 238.0 3.08 277
SFIX,R 186268507
EFIX,R 186268507 186269516 1010 745.0 230.7 1912
SSACC,R 186269517
ESACC,R 186269517 186269564 48 725.3 227.7 1059.4 813.4 11.36 539
SFIX,R 186269565
EFIX,R 186269565 186269689 125 1060.5 814.2 1878
SSACC,R 186269690
ESACC,R 186269690 186269709 20 1063.3 809.3 1064.0 914.3 1.73 161
SFIX,R 186269710
EFIX,R 186269710 186270357 648 1071.0 903.4 2362
SSACC,R 186270358
ESACC,R 186270358 186270404 47 1073.3 902.2 1537.4 1210.4 9.01 394
SFIX,R 186270405
EFIX,R 186270405 186270633 229 1535.1 1216.9 2477
SSACC,R 186270634
ESACC,R 186270634 186270659 26 1536.0 1209.8 1389.6 1193.9 2.36 148
SFIX,R 186270660
EFIX,R 186270660 186271079 420 1332.9 1165.2 2665
SSACC,R 186271080
ESACC,R 186271080 186271100 21 1330.8 1157.1 1444.4 1196.0 1.93 154
SFIX,R 186271101
EFIX,R 186271101 186271411 311 1452.9 1198.9 2766
SSACC,R 186271412
ESACC,R 186271412 186271430 19 1449.5 1194.4 1519.0 1254.6 1.45 111
SFIX,R 186271431
EFIX,R 186271431 186272011 581 1529.1 1277.0 2838
SSACC,R 186272012
ESACC,R 186272012 186272038 27 1527.0 1278.5 1701.0 1370.0 3.05 213
SFIX,R 186272039
EFIX,R 186272039 186272474 436 1701.9 1383.9 2788
SSACC,R 186272475
SBLINK,R 186272494
EBLINK,R 186272494 186272722 229
ESACC,R 186272475 186272770 296 1707.2 1389.0 984.4 1074.6 12.49 381
SFIX,R 186272771
EFIX,R 186272771 186273063 293 966.5 1095.4 2420
SSACC,R 186273064
ESACC,R 186273064 186273104 41 967.0 1094.4 593.2 1226.4 6.44 326
SFIX,R 186273105
EFIX,R 186273105 186273419 315 583.2 1214.8 2807
SSACC,R 186273420
ESACC,R 186273420 186273472 53 587.9 1206.4 836.4 273.3 15.82 686
SFIX,R 186273473
EFIX,R 186273473 186273595 123 829.5 276.7 2785
SSACC,R 186273596
ESACC,R 186273596 186273609 14 822.7 279.6 783.2 251.6 0.83 87
SFIX,R 186273610
EFIX,R 186273610 186274467 858 750.1 245.6 2005
SSACC,R 186274468
ESACC,R 186274468 186274508 41 742.1 247.9 1335.6 822.8 13.86 638
SFIX,R 186274509
EFIX,R 186274509 186274625 117 1335.8 839.5 1876
SSACC,R 186274626
ESACC,R 186274626 186274645 20 1334.6 831.8 1392.7 903.1 1.51 123
SFIX,R 186274646
EFIX,R 186274646 186275162 517 1395.1 910.6 2221
SSACC,R 186275163
ESACC,R 186275163 186275220 58 1393.4 898.6 1950.5 1741.2 15.21 521
SFIX,R 186275221
EFIX,R 186275221 186275422 202 1947.4 1731.1 2425
SSACC,R 186275423
ESACC,R 186275423 186275482 60 1945.5 1725.0 1640.9 1015.8 11.46 380
SFIX,R 186275483
EFIX,R 186275483 186275820 338 1633.5 1010.6 2627
SSACC,R 186275821
ESACC,R 186275821 186275846 26 1633.2 1013.8 1520.7 1206.0 3.52 259
SFIX,R 186275847
EFIX,R 186275847 186276165 319 1507.1 1212.8 2766
SSACC,R 186276166
ESACC,R 186276166 186276215 50 1506.1 1222.5 1458.5 434.4 12.78 611
SFIX,R 186276216
EFIX,R 186276216 186276465 250 1448.7 426.2 2499
SSACC,R 186276466
SBLINK,R 186276503
EBLINK,R 186276503 186276658 156
ESACC,R 186276466 186276753 288 1447.3 428.6 2215.4 753.6 13.15 1636
SFIX,R 186276754
EFIX,R 186276754 186277471 718 2204.7 808.9 2129
SSACC,R 186277472
ESACC,R 186277472 186277527 56 2200.7 787.4 2168.9 49.4 11.74 476
SFIX,R 186277528
EFIX,R 186277528 186277868 341 2168.6 51.3 2136
SSACC,R 186277869
ESACC,R 186277869 186277900 32 2173.2 53.5 1846.8 63.2 5.06 297
SFIX,R 186277901
EFIX,R 186277901 186278181 281 1828.3 69.9 2202
SSACC,R 186278182
ESACC,R 186278182 186278244 63 1829.3 72.1 949.3 221.0 14.73 457
SFIX,R 186278245
EFIX,R 186278245 186278306 62 932.4 226.4 2535
SSACC,R 186278307
ESACC,R 186278307 186278328 22 932.0 225.8 815.1 232.0 1.99 184
SFIX,R 186278329
EFIX,R 186278329 186278475 147 798.6 239.6 2319
SSACC,R 186278476
ESACC,R 186278476 186278483 8 777.3 239.2 759.8 247.0 0.33 45
SFIX,R 186278484
EFIX,R 186278484 186278896 413 745.2 250.9 1937
SSACC,R 186278897
ESACC,R 186278897 186278927 31 738.9 251.1 1244.2 241.9 8.57 566
SFIX,R 186278928
EFIX,R 186278928 186280253 1326 1293.1 245.2 2266
SSACC,R 186280254
ESACC,R 186280254 186280357 104 1300.4 248.4 595.4 424.8 12.24 175
SFIX,R 186280358
EFIX,R 186280358 186281449 1092 580.7 438.4 2383
SSACC,R 186281450
ESACC,R 186281450 186281493 44 583.3 436.0 395.8 467.0 3.17 92
SFIX,R 186281494
EFIX,R 186281494 186282021 528 374.6 460.8 2481
SSACC,R 186282022
ESACC,R 186282022 186282083 62 370.0 455.5 1213.4 305.6 14.33 385
SFIX,R 186282084
EFIX,R 186282084 186282240 157 1203.6 312.7 2596
SSACC,R 186282241
ESACC,R 186282241 186282299 59 1201.3 311.0 865.4 201.7 6.01 165
SFIX,R 186282300
EFIX,R 186282300 186282534 235 843.7 201.1 2855
SSACC,R 186282535
SBLINK,R 186282565
EBLINK,R 186282565 186282643 79
ESACC,R 186282535 186282678 144 846.1 200.6 932.2 22.9 3.38 1847
SFIX,R 186282679
EFIX,R 186282679 186283000 322 929.0 38.0 2885
SSACC,R 186283001
