tracker_time_ms,message
186291480,!V TRIAL_VAR Stim_Orientation_deg 0.0
186291480,!V TRIAL_VAR Gap_Duration_ms 100.0
186291480,!V TRIAL_VAR Stim_Duration_ms 200.0
186291480,!V TRIAL_VAR Stim_Hold_Time_ms 100.0
186291480,!V TRIAL_VAR Condition_ID C000007
186291481,!V TRIAL_VAR Is_Control False
186291481,!V TRIAL_VAR Stim_Color_Name Gray
186291481,!V TRIAL_VAR Stim_Intensity_Level 30
186291481,!V TRIAL_VAR Stim_Pos_X_deg 12.0
186291481,!V TRIAL_VAR Stim_Pos_Y_deg -1.0
186291486,FIX_ON TRIAL 8
186292018,GAZE_ACQUIRED TRIAL 8
186292196,FIX_OFF TRIAL 8
186292303,STIM_ON TRIAL 8
186292433,TARGET_ENTER TRIAL 8
186292511,STIM_OFF TRIAL 8
186292540,STIM_WINDOW_END TRIAL 8
186292543,REWARD TRIAL 8
186292806,!V TRIAL_VAR Status Success
186292806,!V TRIAL_VAR Subject_ID Monkey_H18
186292806,TRIAL_RESULT Success
186295868,TRIALID 9
186295868,!V TRIAL_VAR Subject_ID Monkey_H18
186295868,!V TRIAL_VAR Planned_Fixation_Duration_ms 313.3419370189776
186295868,!V TRIAL_VAR Fixation_Pos_X_deg -6.0
186295868,!V TRIAL_VAR Fixation_Pos_Y_deg 8.0
186295868,!V TRIAL_VAR Fixation_Point_Radius_deg 0.2
186295868,!V TRIAL_VAR Fix_Window_Radius_deg 2.0
186295868,!V TRIAL_VAR Stim_Pos_X_deg 9.0
186295868,!V TRIAL_VAR Stim_Pos_Y_deg -10.0
186295868,!V TRIAL_VAR Stim_Window_Radius_deg 2.5
186295868,!V TRIAL_VAR Stim_Major_Axis_deg 0.3
186295868,!V TRIAL_VAR Stim_Minor_Axis_deg 0.3
186295868,!V TRIAL_VAR Stim_Orientation_deg 0.0
186295868,!V TRIAL_VAR Gap_Duration_ms 100.0
186295868,!V TRIAL_VAR Stim_Duration_ms 200.0
186295868,!V TRIAL_VAR Stim_Hold_Time_ms 100.0
186295869,!V TRIAL_VAR Condition_ID C000008
186295869,!V TRIAL_VAR Is_Control False
186295869,!V TRIAL_VAR Stim_Color_Name Gray
186295869,!V TRIAL_VAR Stim_Intensity_Level 180
186295869,!V TRIAL_VAR Stim_Pos_X_deg 9.0
186295869,!V TRIAL_VAR Stim_Pos_Y_deg -10.0
186295875,FIX_ON TRIAL 9
186296369,GAZE_ACQUIRED TRIAL 9
186296536,FIX_OFF TRIAL 9
186296643,STIM_ON TRIAL 9
186296768,TARGET_ENTER TRIAL 9
186296851,STIM_OFF TRIAL 9
186296872,STIM_WINDOW_END TRIAL 9
186296875,REWARD TRIAL 9
186297137,!V TRIAL_VAR Status Success
186297137,!V TRIAL_VAR Subject_ID Monkey_H18
186297137,TRIAL_RESULT Success
186300202,TRIALID 10
186300202,!V TRIAL_VAR Subject_ID Monkey_H18
186300202,!V TRIAL_VAR Planned_Fixation_Duration_ms 642.1706851220143
186300202,!V TRIAL_VAR Fixation_Pos_X_deg -6.0
186300202,!V TRIAL_VAR Fixation_Pos_Y_deg 8.0
186300202,!V TRIAL_VAR Fixation_Point_Radius_deg 0.2
186300202,!V TRIAL_VAR Fix_Window_Radius_deg 2.0
186300202,!V TRIAL_VAR Stim_Pos_X_deg 9.0
186300202,!V TRIAL_VAR Stim_Pos_Y_deg -1.0
186300202,!V TRIAL_VAR Stim_Window_Radius_deg 2.5
186300202,!V TRIAL_VAR Stim_Major_Axis_deg 0.3
186300202,!V TRIAL_VAR Stim_Minor_Axis_deg 0.3
186300202,!V TRIAL_VAR Stim_Orientation_deg 0.0
186300202,!V TRIAL_VAR Gap_Duration_ms 100.0
186300202,!V TRIAL_VAR Stim_Duration_ms 200.0
186300202,!V TRIAL_VAR Stim_Hold_Time_ms 100.0
186300203,!V TRIAL_VAR Condition_ID C000009
186300203,!V TRIAL_VAR Is_Control False
186300203,!V TRIAL_VAR Stim_Color_Name Gray
186300203,!V TRIAL_VAR Stim_Intensity_Level 180
186300203,!V TRIAL_VAR Stim_Pos_X_deg 9.0
186300203,!V TRIAL_VAR Stim_Pos_Y_deg -1.0
186300207,FIX_ON TRIAL 10
186300664,GAZE_ACQUIRED TRIAL 10
186301161,FIX_OFF TRIAL 10
186301268,STIM_ON TRIAL 10
186301382,TARGET_ENTER TRIAL 10
186301476,STIM_OFF TRIAL 10
186301490,STIM_WINDOW_END TRIAL 10
186301494,REWARD TRIAL 10
186301757,!V TRIAL_VAR Status Success
186301757,!V TRIAL_VAR Subject_ID Monkey_H18
186301757,TRIAL_RESULT Success
186304821,TRIALID 11
186304821,!V TRIAL_VAR Subject_ID Monkey_H18
186304821,!V TRIAL_VAR Planned_Fixation_Duration_ms 464.35622606587987
186304821,!V TRIAL_VAR Fixation_Pos_X_deg -6.0
186304821,!V TRIAL_VAR Fixation_Pos_Y_deg 8.0
186304821,!V TRIAL_VAR Fixation_Point_Radius_deg 0.2
186304821,!V TRIAL_VAR Fix_Window_Radius_deg 2.0
186304821,!V TRIAL_VAR Stim_Pos_X_deg 0.0
186304821,!V TRIAL_VAR Stim_Pos_Y_deg -4.0
186304821,!V TRIAL_VAR Stim_Window_Radius_deg 2.5
186304821,!V TRIAL_VAR Stim_Major_Axis_deg 0.3
186304821,!V TRIAL_VAR Stim_Minor_Axis_deg 0.3
186304821,!V TRIAL_VAR Stim_Orientation_deg 0.0
186304821,!V TRIAL_VAR Gap_Duration_ms 100.0
186304821,!V TRIAL_VAR Stim_Duration_ms 200.0
186304821,!V TRIAL_VAR Stim_Hold_Time_ms 100.0
186304823,!V TRIAL_VAR Condition_ID C000010
186304823,!V TRIAL_VAR Is_Control False
186304823,!V TRIAL_VAR Stim_Color_Name Gray
186304823,!V TRIAL_VAR Stim_Intensity_Level 90
186304823,!V TRIAL_VAR Stim_Pos_X_deg 0.0
186304823,!V TRIAL_VAR Stim_Pos_Y_deg -4.0
186304829,FIX_ON TRIAL 11
186305358,GAZE_ACQUIRED TRIAL 11
186305675,FIX_OFF TRIAL 11
186305782,STIM_ON TRIAL 11
186305901,TARGET_ENTER TRIAL 11
186305990,STIM_OFF TRIAL 11
186306003,STIM_WINDOW_END TRIAL 11
186306007,REWARD TRIAL 11
186306270,!V TRIAL_VAR Status Success
186306270,!V TRIAL_VAR Subject_ID Monkey_H18
186306270,TRIAL_RESULT Success
186309333,TRIALID 12
186309333,!V TRIAL_VAR Subject_ID Monkey_H18
186309333,!V TRIAL_VAR Planned_Fixation_Duration_ms 425.30401671663805
186309333,!V TRIAL_VAR Fixation_Pos_X_deg -6.0
186309333,!V TRIAL_VAR Fixation_Pos_Y_deg 8.0
186309333,!V TRIAL_VAR Fixation_Point_Radius_deg 0.2
186309333,!V TRIAL_VAR Fix_Window_Radius_deg 2.0
186309333,!V TRIAL_VAR Stim_Pos_X_deg -6.0
186309333,!V TRIAL_VAR Stim_Pos_Y_deg -1.0
186309333,!V TRIAL_VAR Stim_Window_Radius_deg 2.5
186309333,!V TRIAL_VAR Stim_Major_Axis_deg 0.3
186309333,!V TRIAL_VAR Stim_Minor_Axis_deg 0.3
186309333,!V TRIAL_VAR Stim_Orientation_deg 0.0
186309333,!V TRIAL_VAR Gap_Duration_ms 100.0
186309333,!V TRIAL_VAR Stim_Duration_ms 200.0
186309333,!V TRIAL_VAR Stim_Hold_Time_ms 100.0
186309334,!V TRIAL_VAR Condition_ID C000011
186309334,!V TRIAL_VAR Is_Control False
186309334,!V TRIAL_VAR Stim_Color_Name Gray
186309334,!V TRIAL_VAR Stim_Intensity_Level 120
186309334,!V TRIAL_VAR Stim_Pos_X_deg -6.0
186309334,!V TRIAL_VAR Stim_Pos_Y_deg -1.0
186309340,FIX_ON TRIAL 12
186311148,GAZE_ACQUIRED TRIAL 12
186311429,FIX_OFF TRIAL 12
186311536,STIM_ON TRIAL 12
186311668,TARGET_ENTER TRIAL 12
186311743,STIM_OFF TRIAL 12
186311773,STIM_WINDOW_END TRIAL 12
186311775,REWARD TRIAL 12
186312038,!V TRIAL_VAR Status Success
186312038,!V TRIAL_VAR Subject_ID Monkey_H18
186312038,TRIAL_RESULT Success
186315101,TRIALID 13
186315102,!V TRIAL_VAR Subject_ID Monkey_H18
186315102,!V TRIAL_VAR Planned_Fixation_Duration_ms 777.2972982881881
186315102,!V TRIAL_VAR Fixation_Pos_X_deg -6.0
186315102,!V TRIAL_VAR Fixation_Pos_Y_deg 8.0
186315102,!V TRIAL_VAR Fixation_Point_Radius_deg 0.2
186315102,!V TRIAL_VAR Fix_Window_Radius_deg 2.0
186315102,!V TRIAL_VAR Stim_Pos_X_deg 9.0
186315102,!V TRIAL_VAR Stim_Pos_Y_deg 2.0
186315102,!V TRIAL_VAR Stim_Window_Radius_deg 2.5
186315102,!V TRIAL_VAR Stim_Major_Axis_deg 0.3
186315102,!V TRIAL_VAR Stim_Minor_Axis_deg 0.3
186315102,!V TRIAL_VAR Stim_Orientation_deg 0.0
186315102,!V TRIAL_VAR Gap_Duration_ms 100.0
186315102,!V TRIAL_VAR Stim_Duration_ms 200.0
186315102,!V TRIAL_VAR Stim_Hold_Time_ms 100.0
186315102,!V TRIAL_VAR Condition_ID C000012
186315103,!V TRIAL_VAR Is_Control False
186315103,!V TRIAL_VAR Stim_Color_Name Gray
186315103,!V TRIAL_VAR Stim_Intensity_Level 180
186315103,!V TRIAL_VAR Stim_Pos_X_deg 9.0
186315103,!V TRIAL_VAR Stim_Pos_Y_deg 2.0
186315107,FIX_ON TRIAL 13
186315472,GAZE_ACQUIRED TRIAL 13
186316101,FIX_OFF TRIAL 13
186316208,STIM_ON TRIAL 13
186316336,TARGET_ENTER TRIAL 13
186316418,STIM_OFF TRIAL 13
186316443,STIM_WINDOW_END TRIAL 13
186316447,REWARD TRIAL 13
186316709,!V TRIAL_VAR Status Success
186316709,!V TRIAL_VAR Subject_ID Monkey_H18
186316709,TRIAL_RESULT Success
186319789,TRIALID 14
186319789,!V TRIAL_VAR Subject_ID Monkey_H18
186319789,!V TRIAL_VAR Planned_Fixation_Duration_ms 711.968654317648
186319789,!V TRIAL_VAR Fixation_Pos_X_deg -6.0
186319789,!V TRIAL_VAR Fixation_Pos_Y_deg 8.0
186319789,!V TRIAL_VAR Fixation_Point_Radius_deg 0.2
186319789,!V TRIAL_VAR Fix_Window_Radius_deg 2.0
186319789,!V TRIAL_VAR Stim_Pos_X_deg -6.0
186319789,!V TRIAL_VAR Stim_Pos_Y_deg -7.0
186319789,!V TRIAL_VAR Stim_Window_Radius_deg 2.5
186319789,!V TRIAL_VAR Stim_Major_Axis_deg 0.3
186319789,!V TRIAL_VAR Stim_Minor_Axis_deg 0.3
186319789,!V TRIAL_VAR Stim_Orientation_deg 0.0
186319789,!V TRIAL_VAR Gap_Duration_ms 100.0
186319789,!V TRIAL_VAR Stim_Duration_ms 200.0
186319789,!V TRIAL_VAR Stim_Hold_Time_ms 100.0
186319789,!V TRIAL_VAR Condition_ID C000013
186319793,ERROR MESSAGES LOST 5
186319793,FIX_ON TRIAL 14
186320132,GAZE_ACQUIRED TRIAL 14
186320701,FIX_OFF TRIAL 14
186320808,STIM_ON TRIAL 14
186320961,TARGET_ENTER TRIAL 14
186321014,STIM_OFF TRIAL 14
186321072,STIM_WINDOW_END TRIAL 14
186321076,REWARD TRIAL 14
186321338,!V TRIAL_VAR Status Success
186321338,!V TRIAL_VAR Subject_ID Monkey_H18
186321338,TRIAL_RESULT Success
186324405,TRIALID 15
186324405,!V TRIAL_VAR Subject_ID Monkey_H18
186324405,!V TRIAL_VAR Planned_Fixation_Duration_ms 493.4472897934291
186324405,!V TRIAL_VAR Fixation_Pos_X_deg -6.0
186324406,!V TRIAL_VAR Fixation_Pos_Y_deg 8.0
186324406,!V TRIAL_VAR Fixation_Point_Radius_deg 0.2
186324406,!V TRIAL_VAR Fix_Window_Radius_deg 2.0
186324406,!V TRIAL_VAR Stim_Pos_X_deg -6.0
186324406,!V TRIAL_VAR Stim_Pos_Y_deg 5.0
186324406,!V TRIAL_VAR Stim_Window_Radius_deg 2.5
186324406,!V TRIAL_VAR Stim_Major_Axis_deg 0.3
186324406,!V TRIAL_VAR Stim_Minor_Axis_deg 0.3
186324406,!V TRIAL_VAR Stim_Orientation_deg 0.0
186324406,!V TRIAL_VAR Gap_Duration_ms 100.0
186324406,!V TRIAL_VAR Stim_Duration_ms 200.0
186324406,!V TRIAL_VAR Stim_Hold_Time_ms 100.0
186324406,!V TRIAL_VAR Condition_ID C000014
186324407,!V TRIAL_VAR Is_Control False
186324407,!V TRIAL_VAR Stim_Color_Name Gray
186324407,!V TRIAL_VAR Stim_Intensity_Level 180
186324407,!V TRIAL_VAR Stim_Pos_X_deg -6.0
186324407,!V TRIAL_VAR Stim_Pos_Y_deg 5.0
186324412,FIX_ON TRIAL 15
186326421,FIX_OFF TRIAL 15
186326426,!V TRIAL_VAR Status nofix_1
186326426,!V TRIAL_VAR Subject_ID Monkey_H18
186326426,TRIAL_RESULT nofix_1
186329494,TRIALID 16
186329494,!V TRIAL_VAR Subject_ID Monkey_H18
186329494,!V TRIAL_VAR Planned_Fixation_Duration_ms 512.3185530529919
186329494,!V TRIAL_VAR Fixation_Pos_X_deg -6.0
186329494,!V TRIAL_VAR Fixation_Pos_Y_deg 8.0
186329494,!V TRIAL_VAR Fixation_Point_Radius_deg 0.2
186329494,!V TRIAL_VAR Fix_Window_Radius_deg 2.0
186329494,!V TRIAL_VAR Stim_Pos_X_deg -6.0
186329494,!V TRIAL_VAR Stim_Pos_Y_deg 5.0
186329494,!V TRIAL_VAR Stim_Window_Radius_deg 2.5
186329494,!V TRIAL_VAR Stim_Major_Axis_deg 0.3
186329494,!V TRIAL_VAR Stim_Minor_Axis_deg 0.3
186329494,!V TRIAL_VAR Stim_Orientation_deg 0.0
186329494,!V TRIAL_VAR Gap_Duration_ms 100.0
186329494,!V TRIAL_VAR Stim_Duration_ms 200.0
186329494,!V TRIAL_VAR Stim_Hold_Time_ms 100.0
186329495,!V TRIAL_VAR Condition_ID C000014
186329495,!V TRIAL_VAR Is_Control False
186329495,!V TRIAL_VAR Stim_Color_Name Gray
186329495,!V TRIAL_VAR Stim_Intensity_Level 180
186329495,!V TRIAL_VAR Stim_Pos_X_deg -6.0
186329495,!V TRIAL_VAR Stim_Pos_Y_deg 5.0
186329501,FIX_ON TRIAL 16
186330183,GAZE_ACQUIRED TRIAL 16
186330550,FIX_OFF TRIAL 16
186330657,STIM_ON TRIAL 16
186330775,TARGET_ENTER TRIAL 16
186330865,STIM_OFF TRIAL 16
