event_type,fields
EFIX,R 100967539 100967715 177 435.0 685.6 2495
SSACC,R 100967716
ESACC,R 100967716 100967750 35 440.7 682.1 404.2 343.1 5.71 293
SFIX,R 100967751
EFIX,R 100967751 100967966 216 388.4 308.5 2837
SSACC,R 100967967
ESACC,R 100967967 100967974 8 383.9 303.1 371.1 286.4 0.35 46
SFIX,R 100967975
EFIX,R 100967975 100970155 2181 377.2 291.0 2687
SSACC,R 100970156
ESACC,R 100970156 100970196 41 383.9 293.3 781.6 307.1 6.67 256
SFIX,R 100970197
EFIX,R 100970197 100971139 943 782.0 308.1 2586
SSACC,R 100971140
ESACC,R 100971140 100971161 22 775.5 304.6 664.0 284.9 1.92 119
SFIX,R 100971162
EFIX,R 100971162 100971678 517 639.4 282.9 2842
SSACC,R 100971679
SBLINK,R 100971699
EBLINK,R 100971699 100971809 111
ESACC,R 100971679 100971836 158 638.9 282.3 735.6 538.0 4.65 538
SFIX,R 100971837
EFIX,R 100971837 100972138 302 768.9 339.8 2818
SSACC,R 100972139
SBLINK,R 100972159
EBLINK,R 100972159 100972349 191
ESACC,R 100972139 100972397 259 771.3 314.8 920.2 365.8 2.68 398
SFIX,R 100972398
EFIX,R 100972398 100973001 604 948.8 215.3 2653
SSACC,R 100973002
ESACC,R 100973002 100973020 19 953.0 198.0 930.4 117.3 1.44 123
SFIX,R 100973021
EFIX,R 100973021 100973210 190 929.2 106.4 2940
SSACC,R 100973211
ESACC,R 100973211 100973232 22 923.9 113.1 838.3 180.6 1.86 131
SFIX,R 100973233
EFIX,R 100973233 100973647 415 823.7 192.0 2758
SSACC,R 100973648
ESACC,R 100973648 100973670 23 822.6 193.3 853.1 297.9 1.87 143
SFIX,R 100973671
EFIX,R 100973671 100973939 269 854.5 296.5 2588
SSACC,R 100973940
ESACC,R 100973940 100973957 18 857.8 299.9 870.4 365.2 1.14 79
SFIX,R 100973958
EFIX,R 100973958 100974256 299 870.0 376.1 2664
SSACC,R 100974257
ESACC,R 100974257 100974276 20 871.1 372.9 794.9 336.5 1.44 102
SFIX,R 100974277
EFIX,R 100974277 100975389 1113 783.1 337.1 2624
SSACC,R 100975390
SBLINK,R 100975408
EBLINK,R 100975408 100975602 195
ESACC,R 100975390 100975652 263 781.1 330.3 865.6 266.8 1.80 300
SFIX,R 100975653
EFIX,R 100975653 100975799 147 883.9 150.0 2382
SSACC,R 100975800
ESACC,R 100975800 100975829 30 882.2 140.3 703.8 -11.5 3.99 240
SFIX,R 100975830
